impactCategory.name,,,,Acidification,Eutrophication,Freshwater ecotoxicity,Global warming,Human health - cancer,Human health - non-cancer,Human health - particulate matter,Ozone depletion,Smog formation
impactCategory.refUnit,,,,kg SO2 eq,kg N eq,CTUeco,kg CO2 eq,CTUcancer,CTUnoncancer,PM 2.5 eq,kg CFC-11 eq,kg O3 eq
category,process,flow,unit,,,,,,,,,
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Natural gas, production mixture, at extraction - US","Natural gas, production mixture, at extraction",kg,0.0022108,0.00015101,0.61223,0.26732,1.1168e-09,2.1149e-07,2.5223e-05,1.9411e-10,0.077827
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Natural gas, production mixture, at processing - US","Natural gas, production mixture, at processing",kg,0.002774,0.00015888,0.86724,0.37922,1.6658e-09,3.1237e-07,5.9604e-05,2.91e-10,0.082421
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Sulfur, at plant - RNA","Sulfur, at plant",kg,0.00011826,2.3119e-05,4.3413,0.36795,9.1357e-09,1.4936e-06,8.337e-06,1.3894e-09,0.0035634
"21: Mining, Quarrying, and Oil and Gas Extraction/2121: Coal Mining","Anthracite coal, at mine - RNA","Anthracite coal, at mine",kg,0.010578,8.2488e-05,0.63818,0.67195,2.4447e-09,3.6911e-07,0.00060368,2.8895e-10,0.03882
"21: Mining, Quarrying, and Oil and Gas Extraction/2121: Coal Mining","Bituminous coal, at mine - RNA","Bituminous coal, at mine",kg,0.00010962,2.1874e-05,0.94339,0.15539,2.0397e-09,3.7388e-07,4.0977e-06,4.3845e-10,0.0030042
"21: Mining, Quarrying, and Oil and Gas Extraction/2121: Coal Mining","Lignite coal, at surface mine - RNA","Lignite coal, at surface mine",kg,0.00016471,3.6009e-05,1.307,0.11564,2.8277e-09,5.1821e-07,5.7531e-06,6.1753e-10,0.0045231
"21: Mining, Quarrying, and Oil and Gas Extraction/2122: Metal Ore Mining",Cobalt ore; underground/open-pit mining; at mine - CD,Cobalt ore; at mine; 0.47% cobalt and 2.44% copper,kg,0.00011974,1.2018e-05,0.0072374,0.010697,1.7179e-11,2.8563e-09,0.029866,2.294e-11,0.0042152
"21: Mining, Quarrying, and Oil and Gas Extraction/2123: Nonmetallic Mineral Mining and Quarrying","Bauxite, at mine - GLO","Bauxite, at mine",kg,0.00051203,5.3e-05,0.053415,0.05155,1.2346e-10,2.1256e-08,2.9846e-05,1.6975e-10,0.010973
"21: Mining, Quarrying, and Oil and Gas Extraction/2123: Nonmetallic Mineral Mining and Quarrying",Coarse aggregate from crushed stone; at mine - US,Coarse aggregate from crushed stone; at mine,lb av,8.3861e-05,1.469e-05,0.05418,0.030614,1.2346e-10,2.137e-08,1.1546e-06,7.2745e-11,0.0016606
"21: Mining, Quarrying, and Oil and Gas Extraction/2123: Nonmetallic Mineral Mining and Quarrying",Construction sand and gravel; at mine - US,Construction sand and gravel; at mine,lb av,2.1364e-06,3.5446e-07,0.028943,0.0010982,6.2392e-11,1.1456e-08,9.1786e-08,1.1663e-11,5.4923e-05
"21: Mining, Quarrying, and Oil and Gas Extraction/2123: Nonmetallic Mineral Mining and Quarrying","Limestone, at mine - RNA","Limestone, at mine",kg,8.7031e-06,1.4931e-06,0.10199,0.0045642,2.2009e-10,4.0395e-08,3.7919e-07,4.3641e-11,0.00022431
"21: Mining, Quarrying, and Oil and Gas Extraction/2123: Nonmetallic Mineral Mining and Quarrying",Lithium brine; extraction and reinjection; at plant - CA,"Lithium brine, at plant",kg,7.5629e-06,6.5283e-07,0.18546,0.003664,3.9917e-10,7.3378e-08,4.7648e-07,6.8899e-11,0.00017364
