impactCategory.name,,,,Acidification,Eutrophication,Freshwater ecotoxicity,Global warming,Human health - cancer,Human health - non-cancer,Human health - particulate matter,Ozone depletion,Smog formation
impactCategory.refUnit,,,,kg SO2 eq,kg N eq,CTUeco,kg CO2 eq,CTUcancer,CTUnoncancer,PM 2.5 eq,kg CFC-11 eq,kg O3 eq
category,process,flow,unit,,,,,,,,,
"21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction","Sulfur, at plant - RNA","Sulfur, at plant",kg,0.00015689,1.9687e-05,4.6117,0.37259,9.5281e-09,1.5829e-06,1.5207e-05,1.3855e-09,0.0039829
"21: Mining, Quarrying, and Oil and Gas Extraction/2121: Coal Mining","Anthracite coal, at mine - RNA","Anthracite coal, at mine",kg,0.010585,8.2033e-05,0.67075,0.67468,2.4832e-09,3.7904e-07,0.00060482,2.8393e-10,0.038933
"21: Mining, Quarrying, and Oil and Gas Extraction/2121: Coal Mining","Bituminous coal, at mine - RNA","Bituminous coal, at mine",kg,0.00012081,2.118e-05,0.99224,0.15953,2.0973e-09,3.8876e-07,5.8024e-06,4.308e-10,0.0031744
"21: Mining, Quarrying, and Oil and Gas Extraction/2121: Coal Mining","Lignite coal, at surface mine - RNA","Lignite coal, at surface mine",kg,0.0001802,3.5046e-05,1.3749,0.12134,2.9078e-09,5.3891e-07,8.1153e-06,6.07e-10,0.0047582
"21: Mining, Quarrying, and Oil and Gas Extraction/2122: Metal Ore Mining",Cobalt ore; underground/open-pit mining; at mine - CD,Cobalt ore; at mine; 0.47% cobalt and 2.44% copper,kg,0.00011981,1.2012e-05,0.0078088,0.0107,1.8037e-11,3.0476e-09,0.029866,2.2947e-11,0.0042159
"21: Mining, Quarrying, and Oil and Gas Extraction/2123: Nonmetallic Mineral Mining and Quarrying","Bauxite, at mine - GLO","Bauxite, at mine",kg,0.00051257,5.2948e-05,0.057629,0.051571,1.2978e-10,2.2668e-08,2.9946e-05,1.698e-10,0.010978
"21: Mining, Quarrying, and Oil and Gas Extraction/2123: Nonmetallic Mineral Mining and Quarrying","Limestone, at mine - RNA","Limestone, at mine",kg,9.9148e-06,1.4184e-06,0.10724,0.0050164,2.2624e-10,4.1991e-08,5.634e-07,4.2804e-11,0.0002428
"21: Mining, Quarrying, and Oil and Gas Extraction/2123: Nonmetallic Mineral Mining and Quarrying",Lithium brine; extraction and reinjection; at plant - CA,"Lithium brine, at plant",kg,9.7715e-06,5.1757e-07,0.19493,0.0044973,4.102e-10,7.6252e-08,8.1132e-07,6.7352e-11,0.00020751
"21: Mining, Quarrying, and Oil and Gas Extraction/2123: Nonmetallic Mineral Mining and Quarrying","Natural soda ash (Sodium carbonate), at plant - US","Natural soda ash (Sodium carbonate), at plant",kg,0.0015274,4.6057e-05,3.3196,0.70784,7.0083e-09,1.3003e-06,6.5759e-05,1.3616e-09,0.027515
"21: Mining, Quarrying, and Oil and Gas Extraction/2123: Nonmetallic Mineral Mining and Quarrying","Soda powder, at plant - RNA","Soda powder, at plant",kg,0.0025812,5.0891e-05,2.4105,0.91161,5.6042e-09,1.0028e-06,0.00012764,5.968e-09,0.024113
"21: Mining, Quarrying, and Oil and Gas Extraction/2123: Nonmetallic Mineral Mining and Quarrying","Sodium chloride, at plant - RNA","Sodium chloride, at plant",kg,0.00075924,4.9472e-05,0.88485,0.14841,1.9229e-09,3.5224e-07,2.2108e-05,9.2623e-10,0.018893
"21: Mining, Quarrying, and Oil and Gas Extraction/2123: Nonmetallic Mineral Mining and Quarrying",Spodumene ore; open pit mining; at plant; 1.89% lithium oxide ore grade - CA,"Spodumene ore, 1.89% lithium oxide, at plant",kg,2.2942e-06,3.5222e-06,0.0057601,0.007838,1.2692e-11,2.246e-09,1.8735e-07,1.7025e-11,9.4708e-05
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution","Electricity, alumina refining regions - RNA","Electricity, alumina refining regions",kWh,0.003721,0.00012368,0.3319,0.75883,8.0738e-10,1.3355e-07,0.00016821,3.4773e-10,0.039644
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution","Electricity, aluminum smelting and ingot casting regions - RNA","Electricity, aluminum smelting and ingot casting regions",kWh,0.0031473,4.8928e-05,0.16312,0.38796,4.3047e-10,6.9745e-08,0.00015176,8.007e-11,0.024728
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution","Electricity, at cogen, for natural gas turbine - RNA","Electricity, at cogen, for natural gas turbine",kWh,0.00061076,3.7449e-05,0.12964,0.45794,2.5576e-10,4.7256e-08,1.1159e-05,4.7068e-11,0.019408
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution","Electricity, at grid - CD","Electricity, at grid",MJ,5.1173e-07,2.5133e-08,1.0822e-06,0.00055075,8.9791e-13,4.21e-13,4.5283e-09,3.162e-15,0.00015072
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution","Electricity, at grid - CN","Electricity, at grid",MJ,0.0016182,2.5149e-05,0.086293,0.20369,2.3413e-10,3.6719e-08,7.7831e-05,4.116e-11,0.014089
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution","Electricity, bauxite mining regions - GLO","Electricity, at bauxite mining regions",kWh,0.0011561,0.0004123,0.64434,0.92865,1.5834e-09,2.4977e-07,4.2093e-05,1.8188e-09,0.030883
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution","Electricity, biomass, at power plant - RNA","Electricity, biomass, at power plant",kWh,0.00082591,4.0564e-05,0.0017466,0.88889,1.4492e-09,6.7948e-10,7.3085e-06,5.1034e-12,0.24325
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution","Electricity, bituminous coal, at power plant - RNA","Electricity, bituminous coal, at power plant",kWh,0.0090338,0.00013654,0.45026,1.0821,1.2007e-09,1.9374e-07,0.00043698,2.1667e-10,0.069803
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution","Electricity, diesel, at power plant - RNA","Electricity, diesel, at power plant",kWh,0.0012904,0.00054902,0.84973,1.209,2.0867e-09,3.2891e-07,4.4153e-05,2.4344e-09,0.039196
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution","Electricity, lignite coal, at power plant - RNA","Electricity, lignite coal, at power plant",kWh,0.013039,0.00018138,1.081,1.1915,2.7166e-09,4.5441e-07,0.00037582,4.7636e-10,0.089826
"22: Utilities/2211: Electric Power Generation, Transmission and Distribution","Electricity, natural gas, at power plant - RNA","Electricity, natural gas, at power plant",kWh,0.00097164,5.9576e-05,0.20624,0.72853,4.0689e-10,7.5179e-08,1.7753e-05,7.4879e-11,0.030875
